ACCT_ID,FIRST_YR_CUSTOMER,COUNTRY,ACCT_MGR_STATUS,ACCT_REVENUE_CAT,ACCT_EMPLOYEE_CAT,ACCT_TYPE,REVENUE.MEDICAL_REVENUE_2015,REVENUE.SCIENTIFIC_REVENUE_2015,REVENUE.TECHNICAL_REVENUE_2015,REVENUE.MEDICAL_REVENUE_2016,REVENUE.SCIENTIFIC_REVENUE_2016,REVENUE.TECHNICAL_REVENUE_2016,USAGE.MEDICAL_NO_SESSIONS_2015,USAGE.SCIENTIFIC_NO_SESSIONS_2015,USAGE.TECHNICAL_NO_SESSIONS_2015,USAGE.MEDICAL_NO_SESSIONS_2016,USAGE.SCIENTIFIC_NO_SESSIONS_2016,USAGE.TECHNICAL_NO_SESSIONS_2016,USERS.USERS_2015,USERS.USERS_2016,NPS.NPS_SCORE_2015,NPS.NPS_SCORE_2016,Calc.TotalRevenue2015,Calc.TotalRevenue2016,Calc.IsLapsed
55581239,2012,FRANCE,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Corporate,60,0,50,63,0,0,8,,20,22,,,1,1,0,,110,63,0
10332586,2016,BELGIUM,MANAGER,$20-$50m,11 - 50 employees,Research,0,0,0,0,0,250.8,,,,,,60,0,6,,,0,250.8,0
56577943,2012,SPAIN,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Academic,237.6,172.8,205.2,249.48,181.44,215.46,76,42,6,97,2,31,6,6,0,,615.6,646.38,0
10261516,2012,UNITED STATES,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Research,0,0,50,0,0,0,,,11,,,,1,0,,,50,0,1
56652873,2013,FRANCE,BOARD DIRECTOR,$50-$100m,100 - 500 employees,Academic,145.08,100.44,122.76,163.8,113.4,0,,1,1,29,75,,3,3,0,,368.28,277.2,0
57029652,2015,NETHERLANDS,DIRECTOR OF FUNCTION,$20-$50m,51 - 100 employees,Academic,60,0,0,0,0,0,14,,,,,,1,0,0,,60,0,1
10329532,2012,NETHERLANDS,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Research,60,0,50,0,42,0,3,,18,,30,,1,1,,,110,42,0
57198808,2015,SPAIN,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Academic,264,0,0,0,201.6,0,48,,,,36,,6,6,0,,264,201.6,0
14750993,2013,UNITED STATES,MANAGER,$50-$100m,51 - 100 employees,Research,112,0,94,117.6,0,0,1,,22,16,,,2,2,,,206,117.6,0
57955868,2012,NETHERLANDS,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Academic,105.28,71.44,88.36,117.6,79.8,0,15,,16,,,,2,2,0,,265.08,197.4,0
10338385,2016,FRANCE,MANAGER,$1bn+,1001 - 5000 employees,Academic,0,0,0,0,0,103.4,,,,,,46,0,2,,,0,103.4,0
58859992,2015,FRANCE,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Corporate,264,192,0,277.2,0,239.4,132,11,,21,,86,6,6,0,10,456,516.6,0
10353404,2014,GERMANY,SENIOR MANAGER,$100-$500m,501 - 1000 employees,Academic,145.08,100.44,122.76,292.95,195.3,244.13,15,10,33,118,1,10,3,5,,,368.28,732.38,0
61069712,2014,UNITED STATES,BOARD DIRECTOR,$1bn+,1001 - 5000 employees,Corporate,273,182,227.5,286.65,191.1,238.88,30,24,20,1,3,,5,5,0,7,682.5,716.63,0
14897456,2012,SPAIN,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Corporate,57,38,47.5,0,0,0,1,,,,,,1,0,,,142.5,0,1
62833140,2014,BELGIUM,SENIOR MANAGER,$100-$500m,100 - 500 employees,Corporate,300,0,250,0,201.6,0,,,95,,168,,5,6,0,,550,201.6,0
10376691,2014,NETHERLANDS,HEAD OF FUNCTION,$100-$500m,501 - 1000 employees,Research,57,38,47.5,0,0,0,2,4,9,,,,1,0,,,142.5,0,1
63726680,2015,UNITED STATES,SENIOR MANAGER,$50-$100m,51 - 100 employees,Research,57,38,47.5,117.6,0,98.7,,2,4,28,,51,1,2,0,9,142.5,216.3,0
10377356,2016,UNITED STATES,HEAD OF FUNCTION,$1bn+,5000+ employees,Academic,0,0,0,117.04,79.42,98.23,,,,3,23,26,0,2,,,0,294.69,0
66862477,2014,UNITED STATES,MANAGER,$20-$50m,51 - 100 employees,Research,57,38,47.5,163.8,113.4,0,22,1,,44,75,,1,3,0,,142.5,277.2,0
14960489,2013,SPAIN,BOARD DIRECTOR,Less than $20m,0 - 10 employees,Corporate,60,0,50,63,42,0,1,,10,29,15,,1,1,,9,110,105,0
68101442,2015,BELGIUM,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Corporate,0,200,250,315,210,0,,29,25,114,105,,5,5,0,,450,525,0
10381558,2015,SPAIN,SENIOR MANAGER,$100-$500m,100 - 500 employees,Research,0,0,50,0,0,0,,,18,,,,1,0,,,50,0,1
69523035,2013,NETHERLANDS,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Research,192,0,164,0,201.6,239.4,15,,12,,46,55,4,6,0,,356,441,0
10383180,2016,NETHERLANDS,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Academic,0,0,0,275.88,200.64,238.26,,,,,60,10,0,6,,8,0,714.78,0
69728286,2014,UNITED STATES,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Corporate,57,38,47.5,111.72,75.81,93.77,2,10,2,5,13,5,1,2,0,7,142.5,281.3,0
16775604,2015,UNITED STATES,BOARD DIRECTOR,$50-$100m,100 - 500 employees,Corporate,60,40,0,0,0,0,1,,,,,,1,0,,,100,0,1
71365640,2014,UNITED KINGDOM,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Research,60,0,50,0,113.4,0,12,,2,,45,,1,3,0,,110,113.4,0
10385714,2012,GERMANY,MANAGER,$20-$50m,51 - 100 employees,Research,176.64,125.12,150.88,185.47,131.38,158.42,10,23,38,3,4,4,4,4,9,,452.64,475.27,0
74703793,2014,NETHERLANDS,MANAGER,$500m-$1bn,501 - 1000 employees,Academic,105.28,71.44,88.36,110.54,75.01,92.78,,8,,24,9,19,2,2,0,9,265.08,278.33,0
10397060,2016,NETHERLANDS,SENIOR MANAGER,$100-$500m,100 - 500 employees,Research,0,0,0,290.4,0,250.8,,,,184,,61,0,6,,,0,541.2,0
75425185,2014,SPAIN,SENIOR MANAGER,$50-$100m,100 - 500 employees,Research,60,0,50,163.8,113.4,0,25,,5,,2,,1,3,0,,110,277.2,0
16833518,2013,SPAIN,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Corporate,57,38,47.5,59.85,39.9,49.88,1,5,1,6,13,5,1,1,8,8,142.5,149.63,0
76065063,2015,FRANCE,HEAD OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Research,57,38,47.5,63,0,52.5,3,,,15,,4,1,1,0,,142.5,115.5,0
10410122,2015,RUSSIA,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Research,300,0,0,0,0,0,25,,,,,,5,0,,,300,0,1
76452711,2012,FRANCE,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Academic,60,0,50,163.8,0,138.6,6,,1,11,,18,1,3,0,8,110,302.4,0
10415419,2015,NETHERLANDS,BOARD DIRECTOR,$1bn+,5000+ employees,Corporate,0,0,50,0,42,0,,,9,,34,,1,1,,,50,42,0
77631677,2014,NETHERLANDS,SENIOR MANAGER,$100-$500m,100 - 500 employees,Research,57,38,47.5,59.85,39.9,49.88,,3,7,15,3,6,1,1,0,,142.5,149.63,0
17356563,2014,FRANCE,HEAD OF FUNCTION,$1bn+,5000+ employees,Academic,112,76,0,0,0,0,1,18,,,,,2,0,7,,188,0,1
77978861,2014,UNITED KINGDOM,MANAGER,Less than $20m,0 - 10 employees,Academic,300,0,250,0,201.6,0,106,,23,,84,,5,6,0,,550,201.6,0
10418999,2016,SPAIN,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Corporate,0,0,0,66,0,55,,,,33,,7,0,1,,,0,121,0
78919545,2015,UNITED STATES,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Corporate,57,38,47.5,0,42,52.5,7,3,8,,3,27,1,1,0,,142.5,94.5,0
10440101,2016,UNITED STATES,BOARD DIRECTOR,$1bn+,1001 - 5000 employees,Corporate,0,0,0,313.5,209,261.25,,,,62,19,13,0,5,,10,0,783.75,0
79419611,2015,SPAIN,SENIOR MANAGER,$20-$50m,51 - 100 employees,Academic,0,0,50,63,0,0,,,2,43,,,1,1,0,,50,63,0
17611375,2015,BELGIUM,HEAD OF FUNCTION,$1bn+,5000+ employees,Research,57,38,47.5,163.8,0,138.6,1,1,4,11,,117,1,3,,,142.5,302.4,0
80014882,2014,UNITED STATES,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Research,60,0,50,0,0,98.7,,,,,,18,1,2,0,,110,98.7,0
10444136,2015,UNITED KINGDOM,BOARD DIRECTOR,$50-$100m,51 - 100 employees,Corporate,60,0,0,0,0,138.6,13,,,,,72,1,3,,5,60,138.6,0
80433625,2012,FRANCE,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Research,60,0,50,0,113.4,0,1,,27,,18,,1,3,0,9,110,113.4,0
10448542,2015,GERMANY,SENIOR MANAGER,$500m-$1bn,1001 - 5000 employees,Academic,0,136,164,201.6,0,172.2,,106,25,63,,24,4,4,,10,300,373.8,0
80529009,2013,UNITED KINGDOM,MANAGER,$500m-$1bn,501 - 1000 employees,Academic,60,0,50,0,0,52.5,2,,15,,,7,1,1,0,,110,52.5,0
17690636,2015,UNITED STATES,BOARD DIRECTOR,$500m-$1bn,501 - 1000 employees,Academic,57,38,47.5,163.8,0,138.6,1,,,34,,16,1,3,,,142.5,302.4,0
81120293,2014,SPAIN,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Academic,57,38,47.5,163.8,113.4,0,3,,,,,,1,3,0,,142.5,277.2,0
10453467,2016,GERMANY,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Research,0,0,0,66,0,0,,,,17,,,0,1,,,0,66,0
81184691,2015,RUSSIA,MANAGER,$100-$500m,100 - 500 employees,Academic,60,0,50,0,113.4,0,1,,2,,135,,1,3,0,,110,113.4,0
10458858,2015,RUSSIA,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Corporate,60,40,0,0,0,0,8,5,,,,,1,0,7,,100,0,1
81750704,2013,UNITED KINGDOM,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Corporate,60,0,50,0,113.4,138.6,6,,8,,120,11,1,3,0,1,110,252,0
17766982,2013,BELGIUM,DIRECTOR OF FUNCTION,Less than $20m,0 - 10 employees,Academic,57,38,47.5,59.85,39.9,49.88,1,1,2,13,,,1,1,,,142.5,149.63,0
82093890,2015,UNITED STATES,SENIOR MANAGER,Less than $20m,0 - 10 employees,Corporate,264,192,0,277.2,0,0,45,74,,264,,,6,6,0,,456,277.2,0
10458885,2014,UNITED STATES,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Research,60,0,50,0,79.8,0,7,,,,74,,1,2,,,110,79.8,0
82505561,2014,UNITED STATES,BOARD DIRECTOR,$1bn+,5000+ employees,Academic,57,38,47.5,0,0,0,2,,,,,,1,0,0,,142.5,0,1
10479161,2015,FRANCE,BOARD DIRECTOR,$1bn+,5000+ employees,Research,60,0,0,117.6,0,0,11,,,80,,,1,2,7,10,60,117.6,0
82704443,2015,GERMANY,MANAGER,$500m-$1bn,1001 - 5000 employees,Research,0,192,228,277.2,0,239.4,,25,22,2,,15,6,6,0,,420,516.6,0
